epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,18507.5,0.32495,0.31436,0.21369,0.85791,0.99726,0.99643,0.99408,0.98541,0.99652,0.99565,0.99402,0.91735,0.17635,0.23629,0.12417,0.76936,0.0002774,0.0002774,0.0002774
89,18717.1,0.31885,0.31584,0.20982,0.85607,0.99429,0.99835,0.99392,0.98596,0.99374,0.99781,0.99388,0.91651,0.17543,0.23631,0.12344,0.77156,0.0002576,0.0002576,0.0002576
90,18927,0.31819,0.30776,0.20842,0.85759,0.99525,0.99762,0.9941,0.9867,0.99481,0.99598,0.99409,0.91764,0.16865,0.23093,0.12361,0.76927,0.0002378,0.0002378,0.0002378
91,19129.7,0.2419,0.27001,0.16848,0.81471,0.99653,0.99634,0.99395,0.98496,0.99598,0.99579,0.99392,0.91319,0.18029,0.23696,0.12626,0.77303,0.000218,0.000218,0.000218
92,19331.5,0.23459,0.25949,0.16112,0.81363,0.99581,0.99873,0.99414,0.98513,0.9949,0.99781,0.99386,0.91809,0.18464,0.24121,0.12735,0.76913,0.0001982,0.0001982,0.0001982
93,19533.3,0.22618,0.26496,0.15754,0.81283,0.99587,0.99854,0.99432,0.98712,0.99514,0.99781,0.99411,0.9188,0.16362,0.22468,0.11942,0.76885,0.0001784,0.0001784,0.0001784
94,19735.3,0.22708,0.2527,0.15577,0.80824,0.99671,0.99803,0.99443,0.98803,0.99598,0.99729,0.99423,0.92281,0.16385,0.22504,0.11793,0.77028,0.0001586,0.0001586,0.0001586
95,19937.4,0.22598,0.25954,0.15673,0.81002,0.99663,0.99817,0.99441,0.98754,0.9959,0.99744,0.99439,0.9221,0.16572,0.22544,0.11812,0.76986,0.0001388,0.0001388,0.0001388
96,20139.2,0.22098,0.25976,0.15144,0.80752,0.99781,0.99757,0.99439,0.98682,0.99707,0.99678,0.99409,0.92004,0.16894,0.22746,0.11819,0.76911,0.000119,0.000119,0.000119
97,20340.8,0.21833,0.24548,0.15177,0.80761,0.99635,0.99855,0.9944,0.98797,0.99562,0.99782,0.99413,0.92405,0.16496,0.22417,0.11577,0.76873,9.92e-05,9.92e-05,9.92e-05
98,20542.4,0.21048,0.24171,0.14691,0.80554,0.99781,0.9983,0.99425,0.98823,0.99689,0.99728,0.99401,0.92396,0.16303,0.22178,0.11483,0.76824,7.94e-05,7.94e-05,7.94e-05
99,20744.2,0.21217,0.2412,0.14659,0.8114,0.99727,0.99835,0.99428,0.9874,0.99654,0.99762,0.99403,0.92369,0.16742,0.22553,0.11638,0.7687,5.96e-05,5.96e-05,5.96e-05
100,20945.6,0.21513,0.24271,0.14788,0.80973,0.99653,0.99844,0.99429,0.98821,0.99599,0.99789,0.99426,0.92392,0.1598,0.21877,0.11422,0.76702,3.98e-05,3.98e-05,3.98e-05
