epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,20778.5,0.46723,1.11569,0.30883,0.82275,0.96488,0.97778,0.99092,0.86027,0.93817,0.85923,0.90005,0.53713,0.67379,0.90555,0.35824,0.71273,0.0002576,0.0002576,0.0002576
90,21010.5,0.46602,1.09497,0.3073,0.82412,0.96828,0.97409,0.99124,0.85624,0.94195,0.85827,0.90098,0.53843,0.68337,0.91695,0.35831,0.71348,0.0002378,0.0002378,0.0002378
91,21145.3,0.5931,1.02816,0.36714,0.79463,0.96187,0.97375,0.99049,0.87495,0.93122,0.84967,0.89581,0.53174,0.63236,0.82156,0.35412,0.71628,0.000218,0.000218,0.000218
92,21279.6,0.58465,0.97466,0.35721,0.79125,0.96131,0.97796,0.99075,0.87893,0.92956,0.85023,0.9003,0.54313,0.6329,0.82079,0.35157,0.71475,0.0001982,0.0001982,0.0001982
93,21413.5,0.57595,0.97772,0.35065,0.78843,0.96164,0.97367,0.9906,0.88018,0.93063,0.846,0.89811,0.53876,0.63198,0.81174,0.35082,0.71382,0.0001784,0.0001784,0.0001784
94,21547.5,0.56903,0.98947,0.34513,0.78234,0.96044,0.97369,0.99032,0.88382,0.93018,0.84926,0.90061,0.54374,0.62933,0.79888,0.34981,0.712,0.0001586,0.0001586,0.0001586
95,21681.3,0.56643,0.97686,0.34423,0.78419,0.96118,0.9775,0.99036,0.88475,0.92881,0.8497,0.89983,0.54051,0.62514,0.79723,0.34753,0.71226,0.0001388,0.0001388,0.0001388
96,21814.6,0.56373,0.9617,0.34068,0.78495,0.95853,0.97471,0.98994,0.88419,0.92851,0.84893,0.90152,0.5456,0.62504,0.79241,0.34482,0.7118,0.000119,0.000119,0.000119
97,21947.2,0.55474,0.95853,0.33729,0.78387,0.96215,0.97306,0.99067,0.88654,0.93065,0.84595,0.90033,0.54351,0.62132,0.78085,0.34247,0.70987,9.92e-05,9.92e-05,9.92e-05
98,22080.2,0.56254,0.96417,0.33744,0.78661,0.96238,0.97329,0.99045,0.88646,0.92856,0.84748,0.90166,0.54647,0.62304,0.78611,0.34262,0.71061,7.94e-05,7.94e-05,7.94e-05
99,22213.5,0.55269,0.95439,0.33448,0.78119,0.96275,0.975,0.9905,0.88894,0.93143,0.85138,0.90592,0.54856,0.61881,0.78516,0.34118,0.71048,5.96e-05,5.96e-05,5.96e-05
100,22346.5,0.55053,0.95214,0.33338,0.78514,0.96216,0.97536,0.99057,0.88734,0.93008,0.851,0.90387,0.5496,0.6201,0.78695,0.34172,0.70995,3.98e-05,3.98e-05,3.98e-05
